species_id,name,img_file
1,Xanthoria parietina,xanthoria_parietina.jpg
2,Candelaria concolor,candelaria_concolor.jpg
3,Flavoparmelia caperata/soredians,error.jpg
4,Hypotrachyna afrorevoluta/revoluta,other_lichen.jpg
5,Lichen crustace aspect poudreux,other_lichen.jpg
6,Ramalina farinacea,other_lichen.jpg
7,Amandinea punctata/Lecidella elaeochroma,other_lichen.jpg
8,Evernia prunastri,other_lichen.jpg
9,Lecanora sp.,other_lichen.jpg
10,Melanelixia glabratula/Melanohalea exasperatula,other_lichen.jpg
11,Parmelia sulcata,other_lichen.jpg
12,Phaeophyscia orbicularis,other_lichen.jpg
13,Physcia adscendens/tenella,other_lichen.jpg
14,Physconia grisea,other_lichen.jpg
15,Pleurosticta acetabulum,other_lichen.jpg
16,Physcia leptalea,other_lichen.jpg
17,Punctelia sp.,other_lichen.jpg
18,Physconia distorta,other_lichen.jpg
19,Physcia aipolia/stellaris,other_lichen.jpg
20,Autre lichen foliace,other_lichen.jpg
21,Candelariella sp.,other_lichen.jpg
22,Hypogymnia physodes/tubulosa,other_lichen.jpg
23,Parmelina tiliacea/pastillifera,other_lichen.jpg
24,Hyperphyscia adglutinata,other_lichen.jpg
25,Melanohalea exasperata,other_lichen.jpg
26,Ramalina fraxinea,other_lichen.jpg
27,Pseudevernia furfuracea,other_lichen.jpg
28,Anaptychia ciliaris,other_lichen.jpg
29,Pertusaria pertusa,other_lichen.jpg
30,Autre lichen crustace,other_lichen.jpg
31,Parmotrema perlatum/reticulatum,other_lichen.jpg
32,Ramalina fastigiata,other_lichen.jpg
33,Parmelia saxatilis,other_lichen.jpg
34,Usnea sp.,other_lichen.jpg
35,Diploicia canescens,other_lichen.jpg
36,Autre lichen fruticuleux,other_lichen.jpg
37,Polycauliona polycarpa,other_lichen.jpg
38,Lichens crustace a lire,other_lichen.jpg
