name,pH,aridity,eutrophication,poleotolerance,thallus,rarity,picture
Candelaria concolor,neutrophilous,xerophilous,eutrophic,resistant,foliose,very common,candelaria_concolor.jpg
Flavoparmelia caperata/soredians,neutrophilous,mesophilous,oligotrophic,intermediate,foliose,common,flavoparmelia_caperata.jpg
Hypotrachyna afrorevoluta/revoluta,acidophilous,mesophilous,oligotrophic,intermediate,foliose,uncommon,hypotrachyna_afrevoluta.jpg
Lichen crustacé à aspect poudreux,acidophilous,unknown,unknown,intermediate,crustose,common,crustaces_poudreux.jpg
Ramalina farinacea,neutrophilous,hygrophilous,oligotrophic,intermediate,fruticose,uncommon,ramalina_farinacea.jpg
Amandinea punctata/Lecidella elaeochroma,neutrophilous,xerophilous,mesotrophic,resistant,crustose,very common,amandinea_punctata.jpg
Evernia prunastri,acidophilous,mesophilous,oligotrophic,intermediate,fruticose,common,evernia_prunastri.jpg
Lecanora sp.,unknown,unknown,unknown,intermediate,crustose,common,lecanora.jpg
Melanelixia glabratula/Melanohalea exasperatula,neutrophilous,mesophilous,mesotrophic,resistant,foliose,common,melanelixia_glabratula.jpg
Phaeophyscia orbicularis,neutrophilous,xerophilous,eutrophic,resistant,foliose,very common,phaeophyscia_orbicularis.jpg
Physcia adscendens/tenella,basophilous,xerophilous,eutrophic,resistant,foliose,very common,physcia_adscendens.jpg
Physconia grisea,neutrophilous,mesophilous,eutrophic,resistant,foliose,common,physconia_grisea.jpg
Pleurosticta acetabulum,neutrophilous,xerophilous,mesotrophic,intermediate,foliose,uncommon,pleurosticta_acetabulum.jpg
Physcia leptalea,neutrophilous,xerophilous,mesotrophic,intermediate,foliose,rare,physcia_leptalea.jpg
Physconia distorta,neutrophilous,xerophilous,eutrophic,resistant,foliose,uncommon,physconia_distorta.jpg
Physcia aipolia/stellaris,neutrophilous,mesophilous,eutrophic,resistant,foliose,uncommon,physcia_aipolia.jpg
Autre lichen foliacé,unknown,unknown,unknown,intermediate,foliose,unknown,lichen_foliace.jpg
Candelariella sp.,neutrophilous,mesophilous,eutrophic,resistant,crustose,very common,candelariella.jpg
Hypogymnia physodes/tubulosa,acidophilous,mesophilous,oligotrophic,intermediate,foliose,uncommon,hypogymnia_physodes.jpg
Parmelina tiliacea/pastillifera,neutrophilous,hygrophilous,mesotrophic,intermediate,foliose,uncommon,parmelina_tiliacea.jpg
Hyperphyscia adglutinata,basophilous,xerophilous,eutrophic,resistant,foliose,very common,hyperphyscia_adglutinata.jpg
Melanohalea exasperata,neutrophilous,xerophilous,mesotrophic,intermediate,foliose,rare,melanohalea_exasperata.jpg
Ramalina fraxinea,neutrophilous,mesophilous,mesotrophic,sensitive,fruticose,rare,ramalina_fraxinea.jpg
Pseudevernia furfuracea,acidophilous,xerophilous,oligotrophic,intermediate,fruticose,rare,pseudevernia_furfuracea.jpg
Anaptychia ciliaris,neutrophilous,mesophilous,mesotrophic,intermediate,fruticose,rare,anaptychia_ciliaris.jpg
Pertusaria pertusa,acidophilous,mesophilous,oligotrophic,intermediate,crustose,rare,pertusaria_pertusa.jpg
Parmotrema perlatum/reticulatum,neutrophilous,mesophilous,oligotrophic,intermediate,foliose,uncommon,parmotrema_perlatum.jpg
Ramalina fastigiata,neutrophilous,mesophilous,oligotrophic,intermediate,fruticose,uncommon,ramalina_fastigiata.jpg
Punctelia sp.,neutrophilous,mesophilous,oligotrophic,resistant,foliose,common,punctelia_sp_.jpg
Usnea sp.,acidophilous,hygrophilous,oligotrophic,sensitive,fruticose,rare,usnea.jpg
Diploicia canescens,basophilous,mesophilous,mesotrophic,intermediate,crustose,common near the coast,diploicia_canescens.jpg
Autre lichen fruticuleux,unknown,unknown,unknown,intermediate,fruticose,unknown,lichen_fruticuleux.jpg
Polycauliona polycarpa,neutrophilous,xerophilous,mesotrophic,intermediate,foliose,uncommon,polycauliona_polycarpa.jpg
Lichen crustacé à lirelles,unknown,unknown,unknown,intermediate,crustose,uncommon,crustaces_lirelles.jpg
Parmelia saxatilis,acidophilous,mesophilous,oligotrophic,intermediate,foliose,uncommon,parmelia_saxatilis.jpg
Autre lichen crustacé,unknown,unknown,unknown,intermediate,crustose,unknown,lichen_crustace.jpg
Parmelia sulcata,acidophilous,mesophilous,oligotrophic,resistant,foliose,common,parmelia_sulcata.jpg
Xanthoria parietina,neutrophilous,xerophilous,eutrophic,resistant,foliose,very common,xanthoria_parietina.jpg
