,id_site,date_obs,localisation_lat,localisation_long,diversite,degres d'artificialisation,pollution acide,pollution azote,Amandinea punctata/Lecidella elaeochroma,Anaptychia ciliaris,Autre lichen crustacé,Autre lichen foliacé,Autre lichen fruticuleux,Candelaria concolor,Candelariella sp.,Diploicia canescens,Evernia prunastri,Flavoparmelia caperata/soredians,Hyperphyscia adglutinata,Hypogymnia physodes/tubulosa,Hypotrachyna afrorevoluta/revoluta,Lecanora sp.,Lichen crustacé à aspect poudreux,Lichens crustace à lirelles,Melanelixia glabratula/Melanohalea exasperatula,Melanohalea exasperata,Parmelia saxatilis,Parmelia sulcata,Parmelina tiliacea/pastillifera,Parmotrema perlatum/reticulatum,Pertusaria pertusa,Phaeophyscia orbicularis,Physcia adscendens/tenella,Physcia aipolia/stellaris,Physcia leptalea,Physconia distorta,Physconia grisea,Pleurosticta acetabulum,Polycauliona polycarpa,Pseudevernia furfuracea,Punctelia sp.,Ramalina farinacea,Ramalina fastigiata,Ramalina fraxinea,Usnea sp.,Xanthoria parietina
0,408,2022-11-16,43.09621333,5.815446667,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1,409,2021-04-21,44.62298333,-1.13751,5,28.28,18.18,18.18,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2,410,2022-02-12,45.09606,3.499086667,18,75.87,20.98,20.98,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
3,411,2021-10-23,45.70144667,4.792333333,12,77.78,21.37,21.37,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
4,412,2022-09-16,45.72219667,3.079663333,20,61.71,29.71,29.71,0.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
5,413,2022-08-29,45.72647333,3.091183333,12,59.71,1.44,1.44,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
6,414,2022-02-03,45.73061,3.101326667,11,54.19,0.0,0.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,415,2022-05-30,45.73129333,3.097013333,15,52.9,1.29,1.29,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
8,416,2022-02-10,45.73127,3.1046,8,59.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
9,417,2021-12-17,45.73242,3.10126,13,54.84,1.38,1.38,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
